dimension,n,mean_abs_delta,median,p90,p95,p99,max,exact_match_%,within_0.01_%,within_0.03_%,within_0.05_%
NoveltyScore,1000,0.007056500000000001,0.0048000000000000265,0.016799999999999926,0.021600000000000008,0.037212,0.06000000000000005,23.0,74.1,98.1,99.8
Uniqueness,1000,0.013059999999999999,0.010000000000000009,0.028000000000000025,0.03600000000000003,0.06202000000000003,0.09999999999999998,13.8,46.400000000000006,91.3,98.1
Tension,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0
Synthesis,1000,0.00011320000000000008,0.0,0.0,0.0,0.0,0.04520000000000002,99.7,99.7,99.7,100.0
Coherence,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0
Confidence,1000,0.0267883,0.020549999999999957,0.05609999999999993,0.07692000000000006,0.12381600000000001,0.2158,0.0,24.8,66.7,87.7
ControversyIndex,1000,0.23507139999999999,0.20279999999999998,0.48724000000000006,0.5667249999999998,0.6725369999999998,0.8320000000000001,3.6999999999999997,6.800000000000001,11.799999999999999,16.6
Spread,1000,0.029763600000000005,0.022899999999999997,0.06221000000000001,0.08542499999999999,0.137618,0.23980000000000004,0.0,23.0,61.8,84.89999999999999
